forpa,tailo,sampa,ipa,ipa_tone
get,kiat,g-i-Et,k-i-et,k-i_{0}-et_{0}
gha,ga,G-a,g-a,g-a_{0}
ghah,gah,G-a?,g-aʔ,g-aʔ_{0}
ghai,gai,G-ai,g-ai,g-ai_{0}
ghak,gak,G-ak,g-ak,g-ak_{0}
gham,gam,G-am,g-am,g-am_{0}
ghan,gan,G-an,g-an,g-an_{0}
ghang,gang,G-aN,g-aŋ,g-aŋ_{0}
ghap,gap,G-ap,g-ap,g-ap_{0}
ghat,gat,G-at,g-at,g-at_{0}
ghau,gau,G-au,g-au,g-au_{0}
ghauh,gauh,G-au?,g-auʔ,g-auʔ_{0}
ghe,ge,G-E,g-e,g-e_{0}
gheh,geh,G-E?,g-eʔ,g-eʔ_{0}
ghen,gian,G-i-En,g-i-en,g-i_{0}-en_{0}
gher,go,G-@,g-ə,g-ə_{0}
gher,ger,G-@,g-ə,g-ə_{0}
gherh,gerh,G-@?,g-əʔ,g-əʔ_{0}
ghet,giat,G-i-Et,g-i-et,g-i_{0}-et_{0}
ghi,gi,G-i,g-i,g-i_{0}
ghia,gia,G-i-a,g-i-a,g-i_{0}-a_{0}
ghiah,giah,G-i-a?,g-i-aʔ,g-i_{0}-aʔ_{0}
ghiak,giak,G-i-ak,g-i-ak,g-i_{0}-ak_{0}
ghiam,giam,G-i-am,g-i-am,g-i_{0}-am_{0}
ghiang,giang,G-i-aN,g-i-aŋ,g-i_{0}-aŋ_{0}
ghiap,giap,G-i-ap,g-i-ap,g-i_{0}-ap_{0}
ghiau,giau,G-i-au,g-i-au,g-i_{0}-au_{0}
ghiauh,giauh,G-i-au?,g-i-auʔ,g-i_{0}-auʔ_{0}
ghien,gian,G-i-En,g-i-en,g-i_{0}-en_{0}
ghier,gio,G-i-@,g-i-ə,g-i_{0}-ə_{0}
ghierh,gioh,G-i-@?,g-i-əʔ,g-i_{0}-əʔ_{0}
ghiet,giat,G-i-Et,g-i-et,g-i_{0}-et_{0}
ghih,gih,G-i?,g-iʔ,g-iʔ_{0}
ghii,gir,G-1,g-ɨ,g-ɨ_{0}
ghiin,girn,G-1n,g-ɨn,g-ɨn_{0}
ghiin,girn,G-1n,g-ɨn,g-ɨn_{0}
ghik,gik,G-ik,g-ik,g-ik_{0}
ghim,gim,G-im,g-im,g-im_{0}
ghin,gin,G-in,g-in,g-in_{0}
ghing,ging,G-iN,g-iŋ,g-iŋ_{0}
ghio,gioo,G-i-O,g-i-ɔ,g-i_{0}-ɔ_{0}
ghioh,giooh,G-i-O?,g-i-ɔʔ,g-i_{0}-ɔʔ_{0}
ghiok,giok,G-i-Ok,g-i-ɔk,g-i_{0}-ɔk_{0}
ghiong,giong,G-i-ON,g-i-ɔŋ,g-i_{0}-ɔŋ_{0}
ghip,gip,G-ip,g-ip,g-ip_{0}
ghit,git,G-it,g-it,g-it_{0}
ghiu,giu,G-i-u,g-i-u,g-i_{0}-u_{0}
ghiuh,giuh,G-i-u?,g-i-uʔ,g-i_{0}-uʔ_{0}
gho,goo,G-O,g-ɔ,g-ɔ_{0}
ghoh,gooh,G-O?,g-ɔʔ,g-ɔʔ_{0}
ghok,gok,G-Ok,g-ɔk,g-ɔk_{0}
ghong,gong,G-ON,g-ɔŋ,g-ɔŋ_{0}
ghu,gu,G-u,g-u,g-u_{0}
ghua,gua,G-u-a,g-u-a,g-u_{0}-a_{0}
ghuai,guai,G-u-ai,g-u-ai,g-u_{0}-ai_{0}
ghuan,guan,G-u-an,g-u-an,g-u_{0}-an_{0}
ghuat,guat,G-u-at,g-u-at,g-u_{0}-at_{0}
ghue,gue,G-u-E,g-u-e,g-u_{0}-e_{0}
ghueh,gueh,G-u-E?,g-u-eʔ,g-u_{0}-eʔ_{0}
ghuh,guh,G-u?,g-uʔ,g-uʔ_{0}
ghui,gui,G-u-i,g-u-i,g-u_{0}-i_{0}
ghun,gun,G-un,g-un,g-un_{0}
ghut,gut,G-ut,g-ut,g-ut_{0}
